Name,Age,WCA ID,Result,Link,Comment
Shawn Boucké,<40,2016BOUC01,29,https://www.facebook.com/events/793763071442450/permalink/794424971376260,
Ben Coppin,40+,2013COPP01,31,https://www.facebook.com/events/793763071442450/permalink/795038424648248,
Adam Robson,<40,,DNF,https://www.facebook.com/events/793763071442450/permalink/798564097629014,
