Name,Age,Result,Link
Grzegorz Pacewicz,40+,25,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
Ben Coppin,40+,26,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
David Roche,50+,30,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
Ed Connell,<40,31,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
Shawn Boucké,<40,31,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
Brooke Persoon,<40,42,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
John Cook,50+,57,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
Adam Robson,<40,57,https://www.facebook.com/groups/1604105099735401/permalink/2138923996253506
