Name,Age,WCA ID,Result,Link,Comment
Shawn Boucké,<40,2016BOUC01,31,https://www.facebook.com/events/671611896802943/permalink/674202033210596,
Ben Coppin,40+,2013COPP01,37,https://www.facebook.com/events/671611896802943/permalink/673654716598661,Yuck
