Name,Age,WCA ID,Result,Link,Comment
Ben Coppin,40+,2013COPP01,28,https://www.facebook.com/events/280668606638446/permalink/282025989836041,
Shawn Boucké,<40,2016BOUC01,29,https://www.facebook.com/events/280668606638446/permalink/281544989884141,
Yi-Wei Chen,40+,,56,https://www.facebook.com/events/280668606638446/permalink/285390882832885,
Ed Connell,<40,2018CONN04,DNF,https://www.facebook.com/events/280668606638446/permalink/284017736303533,
