Name,Age,WCA ID,Result,Link,Comment
Yi-Wei Chen,40+,,36,https://www.facebook.com/events/3426745807421507/permalink/3440046912758063,
Ben Coppin,40+,2013COPP01,DNF,https://www.facebook.com/events/3426745807421507/permalink/3436474446448643,Yuck.
