Name,Age,Result,Link,Comment
Shawn Boucké,<40,30,https://www.facebook.com/events/568280284126471?view=permalink&id=571540883800411,
Grzegorz Pacewicz,40+,31,https://www.facebook.com/events/568280284126471?view=permalink&id=570809837206849,
Michael George,40+,31,https://www.facebook.com/events/568280284126471?view=permalink&id=569029154051584,
Adam Robson,<40,32,https://www.facebook.com/events/568280284126471?view=permalink&id=568550517432781,
Ed Connell,<40,38,https://www.facebook.com/events/568280284126471?view=permalink&id=569101377377695,
Andy Nicholls,40+,44,https://www.facebook.com/events/568280284126471?view=permalink&id=568367324117767,
Mark Rivers,50+,DNF,https://www.facebook.com/events/568280284126471?view=permalink&id=572229607064872,
