Name,Age,Result,Link,Comment
Shawn Boucké,<40,30,https://www.facebook.com/events/568280284126471/permalink/571540883800411/,
Michael George,40+,31,https://www.facebook.com/events/568280284126471/permalink/569029154051584/,
Grzegorz Pacewicz,40+,31,https://www.facebook.com/events/568280284126471/permalink/570809837206849/,
Adam Robson,<40,32,https://www.facebook.com/events/568280284126471/permalink/568550517432781/,
Ed Connell,<40,38,https://www.facebook.com/events/568280284126471/permalink/569101377377695/,
Andy Nicholls,40+,44,https://www.facebook.com/events/568280284126471/permalink/568367324117767/,
Mark Rivers,50+,DNF,https://www.facebook.com/events/568280284126471/permalink/572229607064872/,
