Name,Age,Result,Link,Comment
Grzegorz Pacewicz,40+,27,https://www.facebook.com/events/2563130363933815/permalink/2568078846772300/,
Michael George,40+,33,https://www.facebook.com/events/2563130363933815/permalink/2564203937159791/,
Shawn Boucké,<40,33,https://www.facebook.com/events/2563130363933815/permalink/2563326017247583/,
Andy Nicholls,40+,36,https://www.facebook.com/events/2563130363933815/permalink/2563245993922252/,
Mark Rivers,50+,DNF,https://www.facebook.com/events/2563130363933815/permalink/2567850623461789/,
Adam Robson,<40,DNF,https://www.facebook.com/events/2563130363933815/permalink/2563354400578078/,
