Name,Age,WCA ID,Result,Link,Comment
Ben Coppin,40+,2013COPP01,23,https://www.facebook.com/events/117342666946735/permalink/117576583590010,Wow. One of the luckiest solves I've ever had.
Shawn Boucké,<40,2016BOUC01,25,https://www.facebook.com/events/117342666946735/permalink/120005156680486,
Marius Rombout Ferreira van Riemsdijk,40+,2014RIEM01,32,https://www.facebook.com/events/117342666946735/permalink/121218783225790,32.0
