Name,Age,WCA ID,Result,Link,Comment
Shawn Boucké,<40,2016BOUC01,24,https://www.facebook.com/events/836710610404618/permalink/839749483434064,
Grzegorz Pacewicz,40+,,25,https://www.facebook.com/events/836710610404618/permalink/839848566757489,
Ben Coppin,40+,2013COPP01,27,https://www.facebook.com/events/836710610404618/permalink/838239476918398,
Adam Robson,<40,,27,https://www.facebook.com/events/836710610404618/permalink/837524403656572,
Chris Thames,<40,2019THAM05,49,https://www.facebook.com/events/836710610404618/permalink/838414076900938,
