Name,Age,WCA ID,Result,Link,Comment
Ben Coppin,40+,2013COPP01,28,https://www.facebook.com/events/1208440286201159/permalink/1209189352792919,
Grzegorz Pacewicz,40+,,29,https://www.facebook.com/events/1208440286201159/permalink/1211358209242700,
Adam Robson,<40,,31,https://www.facebook.com/events/1208440286201159/permalink/1209199369458584,
