Name,Age,Result,Link,Comment
Александр Гилка,50+,24,https://www.facebook.com/events/511598773063510/permalink/512404262982961/,
Shawn Boucké,<40,28,https://www.facebook.com/events/511598773063510/permalink/512363329653721/,
Grzegorz Pacewicz,40+,31,https://www.facebook.com/events/511598773063510/permalink/514549682768419/,
David Roche,50+,33,https://www.facebook.com/events/511598773063510/permalink/514712556085465/,
Adam Robson,<40,DNF,https://www.facebook.com/events/500266387310754/permalink/501846950486031/,
