Name,Age,Result,Link,Comment
Shawn Boucké,<40,25,https://www.facebook.com/events/215751886207638/permalink/215957959520364/,
Grzegorz Pacewicz,40+,28,https://www.facebook.com/events/215751886207638/permalink/216177539498406/,
David Roche,50+,28,https://www.facebook.com/events/215751886207638/permalink/217139489402211/,
Ed Connell,<40,30,https://www.facebook.com/events/215751886207638/permalink/216366502812843/,
Go-ho Choi,<40,41,https://www.facebook.com/events/215751886207638/permalink/216681586114668/,
John Cook,50+,45,https://www.facebook.com/events/215751886207638/permalink/217422122707281/,
Adam Robson,<40,47,https://www.facebook.com/events/215751886207638/permalink/218167222632771/,
Andy Nicholls,40+,48,https://www.facebook.com/events/215751886207638/permalink/216411276141699/,
