Name,Age,WCA ID,Result,Link,Comment
Александр Гилка,50+,,21,https://www.facebook.com/events/208650107637875/permalink/209239197578966,
Grzegorz Pacewicz,40+,,30,https://www.facebook.com/events/208650107637875/permalink/212360843933468,
Shawn Boucké,<40,2016BOUC01,DNF,https://www.facebook.com/events/208650107637875/permalink/211942950641924,
