Name,Age,Result,Link,Comment
Grzegorz Pacewicz,40+,27,https://www.facebook.com/events/253518435802861?view=permalink&id=254351852386186,
David Roche,50+,31,https://www.facebook.com/events/253518435802861?view=permalink&id=257872972034074,
Michael George,40+,31,https://www.facebook.com/events/253518435802861?view=permalink&id=254710715683633,
Adam Robson,<40,35,https://www.facebook.com/events/253518435802861?view=permalink&id=253622479125790,
Ciro Vignotto,50+,43,https://www.facebook.com/events/253518435802861?view=permalink&id=253716005783104,
Shawn Boucké,<40,DNF,https://www.facebook.com/events/253518435802861?view=permalink&id=254356069052431,
